Título,URL actual (limpia),URL con categoría (antigua / indexada),Slug,Categoría,Fuente de la categoría,Todas las categorías,Keyword principal,Keywords secundarias,Clics,Impresiones,CTR,Posición,SEO score,Palabras,Publicado,Modificado,Estado
What to Wear to Machu Picchu: Essential Clothing and Packing Tips for Your Trip to Peru,https://www.perugrandtravel.com/blog/what-to-wear-to-machu-picchu/,https://www.perugrandtravel.com/blog/cusco/what-to-wear-to-machu-picchu/,what-to-wear-to-machu-picchu,Cusco,URL indexada (GSC),cusco,what to wear to machu picchu,,3539,144343,0.0245179884026243,5.27,84,1454,2025-02-21,2026-06-22,publish
Coca Tea: The Andean Tradition Every Traveler to Peru Should Know,https://www.perugrandtravel.com/blog/coca-tea/,https://www.perugrandtravel.com/blog/peru/coca-tea/,coca-tea,Perú,URL indexada (GSC),peru,coca tea,"Coca tea in Peru, altitude sickness",1360,246305,0.00552160938673596,6.87,88,1602,2025-02-27,2026-08-22,publish
What to Do on the Day of the Living and the Dead in Peru,https://www.perugrandtravel.com/blog/day-of-the-saints-and-dead/,https://www.perugrandtravel.com/blog/peru/day-of-the-saints-and-dead/,day-of-the-saints-and-dead,Perú,URL indexada (GSC),"arequipa, cusco, lima, peru, puno",day of the saints and dead,,873,73014,0.0119566110608924,6.47,66,1524,2024-10-17,2024-12-10,publish
Relax in the Hot Springs in Aguas Calientes,https://www.perugrandtravel.com/blog/hot-springs-in-aguas-calientes/,https://www.perugrandtravel.com/blog/cusco/hot-springs-in-aguas-calientes/,hot-springs-in-aguas-calientes,Cusco,URL indexada (GSC),cusco,Aguas Calientes,Hot Springs,796,111674,0.00712789010870928,8.21,73,1160,2023-10-27,2025-03-04,publish
"Altitude Sickness in Peru: Causes, Tips &amp; What to Do",https://www.perugrandtravel.com/blog/altitude-sickness-peru/,https://www.perugrandtravel.com/blog/peru/altitude-sickness-peru/,altitude-sickness-peru,Perú,URL indexada (GSC),peru,altitude sickness peru,,750,31776,0.0236027190332326,7.95,83,1216,2025-06-26,2025-06-26,publish
The Catacombs of Lima: Explore the Mystery Underground,https://www.perugrandtravel.com/blog/catacombs-of-lima/,https://www.perugrandtravel.com/blog/lima/catacombs-of-lima/,catacombs-of-lima,Lima,URL indexada (GSC),lima,Catacombs of Lima,,487,109662,0.00444091845853623,7.71,77,1479,2024-04-23,2024-09-30,publish
Carnival in Lima Peru 2026: 7 Secrets to Experiencing the Craziest Party of the Year,https://www.perugrandtravel.com/blog/carnival-in-lima-2026/,https://www.perugrandtravel.com/blog/lima/carnival-in-lima-2026/,carnival-in-lima-2026,Lima,URL indexada (GSC),lima,Carnival in Lima,,405,39124,0.0103517022799305,6.23,92,2191,2026-01-06,2026-01-06,publish
Explore the Heart of the Andes – The Best Things to Do in Huaraz,https://www.perugrandtravel.com/blog/the-best-things-to-do-in-huaraz/,https://www.perugrandtravel.com/blog/huaraz/the-best-things-to-do-in-huaraz/,the-best-things-to-do-in-huaraz,Huaraz,URL indexada (GSC),huaraz,things to do in huaraz,"Laguna 69 vs Laguna Parón, Huaraz Attractions, Day Trips from huaraz",356,59619,0.00597125077575941,5.47,89,2962,2025-10-29,2026-08-19,publish
Machu Picchu Circuit 2: the classic route step by step,https://www.perugrandtravel.com/blog/machu-picchu-circuit-2/,https://www.perugrandtravel.com/blog/cusco/machu-picchu-circuit-2/,machu-picchu-circuit-2,Cusco,URL indexada (GSC),cusco,machu picchu circuit 2,,341,32961,0.0103455599041291,7.55,89,969,2025-08-27,2025-08-27,publish
Discover Inca Hydraulic Engineering: A masterpiece of antiquity,https://www.perugrandtravel.com/blog/discover-inca-hydraulic-engineering-a-masterpiece-of-antiquity/,https://www.perugrandtravel.com/blog/cusco/discover-inca-hydraulic-engineering-a-masterpiece-of-antiquity/,discover-inca-hydraulic-engineering-a-masterpiece-of-antiquity,Cusco,URL indexada (GSC),cusco,Inca Hydraulic Engineering,,339,70437,0.00481281144852847,7.42,80,1049,2024-10-29,2024-10-30,publish
Machu Picchu Circuit 3: quick guide for your visit,https://www.perugrandtravel.com/blog/machu-picchu-circuit-3/,https://www.perugrandtravel.com/blog/cusco/machu-picchu-circuit-3/,machu-picchu-circuit-3,Cusco,URL indexada (GSC),cusco,machu picchu circuit 3,,300,35630,0.00841987089531294,6.21,90,1094,2025-08-27,2025-08-27,publish
The Incredible Animals of Peru You Must Meet on Your Journey,https://www.perugrandtravel.com/blog/animals-of-peru/,https://www.perugrandtravel.com/blog/peru/animals-of-peru/,animals-of-peru,Perú,URL indexada (GSC),peru,animals of peru,,296,199812,0.00148139250895842,23.21,87,1165,2025-04-04,2025-05-30,publish
¿What Were the 7 Inca Temples During the Inca Period?,https://www.perugrandtravel.com/blog/the-7-inca-temples/,https://www.perugrandtravel.com/blog/cusco/the-7-inca-temples/,the-7-inca-temples,Cusco,URL indexada (GSC),cusco,Inca Temples,,286,113777,0.0025136890584213,7.51,79,1900,2024-11-06,2024-11-08,publish
Machu Picchu Circuit 1 guide: routes and travel tips,https://www.perugrandtravel.com/blog/machu-picchu-circuit-1/,https://www.perugrandtravel.com/blog/cusco/machu-picchu-circuit-1/,machu-picchu-circuit-1,Cusco,URL indexada (GSC),cusco,machu picchu circuit 1,,278,34246,0.00811773637797115,5.9,89,1199,2025-08-26,2025-08-27,publish
The Sun of Echenique: Mysteries and legends of Peru,https://www.perugrandtravel.com/blog/the-sun-of-echenique/,https://www.perugrandtravel.com/blog/peru/the-sun-of-echenique/,the-sun-of-echenique,Perú,URL indexada (GSC),"cusco, peru",sun of echenique,,272,45645,0.00595903165735568,7.78,71,1557,2024-10-04,2024-12-10,publish
