Título,URL,Slug,Keyword principal,Keywords secundarias,Título SEO,Meta description,Noindex,SEO score,Palabras,Publicado,Modificado,Estado,Clics,Impresiones,CTR,Posición
Home,https://www.perugrandtravel.com/,home,peru travel agency,,Peru Travel Agency & Tour Company | Peru Grand Travel,"Peru Grand Travel is a Peru travel agency and tour company offering tours to Machu Picchu, Cusco, Lima, Puno, Arequipa and beyond.",,88,0,2022-03-21,2026-08-13,publish,6325,158728,0.0398480419333703,14.16
Machu Picchu Vacation Packages and Tours,https://www.perugrandtravel.com/machu-picchu-packages/,machu-picchu-packages,Machu Picchu travel packages,,Machu Picchu Travel Packages & Tours 2026 - 2027,"Review our all-inclusive Machu Picchu travel packages with hotels, transfers and guided tours. Explore Cusco and the Sacred Valley.",,86,0,2023-03-06,2026-06-04,publish,2361,363994,0.00648637065446134,24.44
Peru Packages,https://www.perugrandtravel.com/packages/,packages,peru travel packages,,Peru Travel Packages 2026 - Customized Tours & Machu Picchu,"Peru travel packages with hotels, transfers and guided tours. Visit Machu Picchu, Cusco, Lima and the Amazon on a personalized journey.",,75,0,2022-03-22,2026-06-02,publish,757,278047,0.00272256129359425,25.41
"Costa Verde, Miraflores Boardwalk",https://www.perugrandtravel.com/peru/lima/natural-attractions/costa-verde/,costa-verde,costa verde lima,,"Costa Verde, Boardwalk of Miraflores in Lima","Costa Verde, Miraflores Boardwalk in Lima: Enjoy the Beauty of the Pacific Ocean and the Energy of this Coastal Icon, Explore Lima in Style!",,70,0,2023-11-30,2024-10-05,publish,451,212839,0.00211897255672128,6.45
Basilica cathedral of Lima,https://www.perugrandtravel.com/peru/lima/churches-and-convents/basilica-cathedral-of-lima/,basilica-cathedral-of-lima,Basilica cathedral of Lima,,Basilica cathedral of Lima,"Discover the Basilica Cathedral of Lima, a symbol of the historical and architectural richness of the Peruvian capital. Plan your visit now.",,76,0,2023-12-19,2024-10-03,publish,399,52852,0.00754938318322864,7.91
Parque del Amor “Love Park”,https://www.perugrandtravel.com/peru/lima/squares-and-parks/parque-del-amor/,parque-del-amor,Parque del Amor Lima,,Love Park in Lima Perú Romance and Coastal Beauty,"Visit the Parque del Amor ""love park"" Lima and let yourself be enveloped by its atmosphere of love and artistic beauty in front of the sea.",,68,0,2024-01-16,2024-10-03,publish,345,70712,0.00487894558207942,8.7
Santo Domingo church Lima,https://www.perugrandtravel.com/peru/lima/churches-and-convents/basilica-and-convent-of-santo-domingo-lima/,basilica-and-convent-of-santo-domingo-lima,basilica and convent of santo domingo lima,,Basilica and Convent of Santo Domingo Lima,The Basilica and Convent of Santo Domingo in Lima: A Historical Treasure. Discover the richness of this iconic site of the Peruvian capital.,,71,0,2024-01-02,2024-10-03,publish,292,27873,0.0104760879704373,8.88
Basilica and Convent of San Francisco,https://www.perugrandtravel.com/peru/lima/churches-and-convents/basilica-and-convent-of-san-francisco/,basilica-and-convent-of-san-francisco,basilica and convent of san francisco lima,,The Basilica and convent of San Francisco Lima (Catacombs),Explore the Basilica and Convent of San Francisco in Lima. Immerse yourself in the history and architecture of this site. Plan your visit now,,74,0,2023-12-19,2024-10-03,publish,204,36848,0.0055362570560139,12.05
National Museum of Archaeology,https://www.perugrandtravel.com/peru/lima/museums/national-museum-of-archaeology-anthropology-and-history-of-peru/,national-museum-of-archaeology-anthropology-and-history-of-peru,National Museum of Archaeology Anthropology and History of Peru,,National Museum of Archaeology Anthropology and History of Peru,"National Museum of Archaeology, Anthropology and History of Peru. Learn about its history, location, how to get there, and more.",,70,0,2023-12-11,2024-10-03,publish,161,24203,0.00665206792546379,10.57
The Basilica and Convent of Our Lady of La Merced,https://www.perugrandtravel.com/peru/lima/churches-and-convents/convent-of-our-lady-of-la-merced/,convent-of-our-lady-of-la-merced,,,The Basilica and Convent of Our Lady of La Merced,Discover the Magic in the Basilica and Convent of Our Lady of La Merced: Historical Treasure of Lima: Explore Centuries of Spirituality!,,,0,2024-01-02,2024-10-03,publish,156,20025,0.00779026217228464,10.33
