Título,URL actual (limpia),URL con categoría (antigua / indexada),Slug,Categoría,Fuente de la categoría,Todas las categorías,Keyword principal,Keywords secundarias,Clics,Impresiones,CTR,Posición,SEO score,Palabras,Publicado,Modificado,Estado
Discover the Top 3 Hikes in Cusco: Mountain trekking adventures,https://www.perugrandtravel.com/blog/the-top-3-hikes-in-cusco/,https://www.perugrandtravel.com/blog/cusco/the-top-3-hikes-in-cusco/,the-top-3-hikes-in-cusco,Cusco,URL indexada (GSC),cusco,Hikes in Cusco,,1,2254,0.000443655723158829,45.08,77,1303,2024-11-26,2024-12-27,publish
Discover Ceviche and Peru in 10 Days: ¡Savor the Journey of a Lifetime!,https://www.perugrandtravel.com/blog/ceviche-peru-in-10-days/,https://www.perugrandtravel.com/blog/peru/ceviche-peru-in-10-days/,ceviche-peru-in-10-days,Perú,URL indexada (GSC),"cusco, lima, peru, puno",Ceviche Peru,,1,985,0.00101522842639594,8,72,1104,2024-11-27,2024-11-29,publish
10 Amazing Places to Visit in Peru: A Perfect 15-Day Itinerary,https://www.perugrandtravel.com/blog/10-amazing-places-to-visit-in-peru/,https://www.perugrandtravel.com/blog/puno/10-amazing-places-to-visit-in-peru/,10-amazing-places-to-visit-in-peru,Puno,URL indexada (GSC),"cusco, puno",Inca Route,,1,766,0.00130548302872063,57.86,60,1402,2024-11-28,2025-12-17,publish
Best Things to Do in Cusco: Explore the Charm of the Inca Capital,https://www.perugrandtravel.com/blog/best-things-to-do-in-cusco/,https://www.perugrandtravel.com/blog/cusco/best-things-to-do-in-cusco/,best-things-to-do-in-cusco,Cusco,URL indexada (GSC),cusco,best things to do in cusco,,1,1205,0.000829875518672199,68.88,90,1213,2025-02-22,2025-05-30,publish
Is it Safe to Go to Peru?: Complete Guide for a Peaceful Trip,https://www.perugrandtravel.com/blog/is-it-safe-to-go-to-peru/,https://www.perugrandtravel.com/blog/peru/is-it-safe-to-go-to-peru/,is-it-safe-to-go-to-peru,Perú,URL indexada (GSC),peru,is it safe to go to peru,,1,9102,0.0001098659635245,40.56,84,1135,2025-02-28,2025-05-30,publish
Huayna Picchu: The Magical Mountain of the Incas,https://www.perugrandtravel.com/blog/huayna-picchu/,https://www.perugrandtravel.com/blog/cusco/huayna-picchu/,huayna-picchu,Cusco,URL indexada (GSC),cusco,huayna picchu,,1,2854,0.000350385423966363,49.43,89,1002,2025-05-09,2025-05-30,publish
"What to visit in Cusco in 2 Days: Quick, Complete Guide",https://www.perugrandtravel.com/blog/what-to-visit-in-cusco/,https://www.perugrandtravel.com/blog/cusco/what-to-visit-in-cusco/,what-to-visit-in-cusco,Cusco,URL indexada (GSC),cusco,what to visit in Cusco,,1,117,0.00854700854700855,17.79,84,1198,2025-07-19,2025-07-19,publish
Discover Peru’s Best Luxury Travel Experiences,https://www.perugrandtravel.com/blog/luxury-travel-experiences/,https://www.perugrandtravel.com/blog/luxury/luxury-travel-experiences/,luxury-travel-experiences,Luxury,URL indexada (GSC),luxury,luxury travel experiences,,1,263,0.00380228136882129,47.83,84,1267,2025-09-09,2025-09-09,publish
"Valentine’s Day Travel Ideas: Romantic Getaways, Experiences, and Easy Itineraries",https://www.perugrandtravel.com/blog/valentines-day-travel-ideas/,https://www.perugrandtravel.com/blog/peru/valentines-day-travel-ideas/,valentines-day-travel-ideas,Perú,URL indexada (GSC),peru,Valentine’s Day Travel Ideas,"valentine, Valentine’s trips",1,877,0.00114025085518814,9.72,83,3083,2026-01-05,2026-01-05,publish
The Temple of The Merced in Puno: Discover the Colonial Jewel of the Altiplano,https://www.perugrandtravel.com/blog/temple-of-the-merced-in-puno/,https://www.perugrandtravel.com/blog/puno/temple-of-the-merced-in-puno/,temple-of-the-merced-in-puno,Puno,URL indexada (GSC),puno,Temple of The Merced in Puno,,1,513,0.00194931773879142,8.51,88,1663,2026-01-27,2026-01-26,publish
